r,t,y,AnnualFixedOperatingCost
"Greece","GRBM00X00",2049,0
"Greece","GRBM00X00",2050,0
"Greece","GRCO00I00",2019,0
"Greece","GRCO00I00",2020,0
"Greece","GRCO00I00",2021,0
"Greece","GRCO00I00",2022,0
"Greece","GRCO00I00",2023,0
"Greece","GRCO00I00",2024,0
"Greece","GRCO00I00",2025,0
"Greece","GRCO00I00",2026,0
"Greece","GRCO00I00",2027,0
"Greece","GRCO00I00",2028,0
"Greece","GRCO00I00",2029,0
"Greece","GRCO00I00",2030,0
"Greece","GRCO00I00",2031,0
"Greece","GRCO00I00",2032,0
"Greece","GRCO00I00",2033,0
"Greece","GRCO00I00",2034,0
"Greece","GRCO00I00",2035,0
"Greece","GRCO00I00",2036,0
"Greece","GRCO00I00",2037,0
"Greece","GRCO00I00",2038,0
"Greece","GRCO00I00",2039,0
"Greece","GRCO00I00",2040,0
"Greece","GRCO00I00",2041,0
"Greece","GRCO00I00",2042,0
"Greece","GRCO00I00",2043,0
"Greece","GRCO00I00",2044,0
"Greece","GRCO00I00",2045,0
"Greece","GRCO00I00",2046,0
"Greece","GRCO00I00",2047,0
"Greece","GRCO00I00",2048,0
"Greece","GRCO00I00",2049,0
"Greece","GRCO00I00",2050,0
"Greece","GRCO00X00",2019,0
"Greece","GRCO00X00",2020,0
"Greece","GRCO00X00",2021,0
"Greece","GRCO00X00",2022,0
"Greece","GRCO00X00",2023,0
"Greece","GRCO00X00",2024,0
"Greece","GRCO00X00",2025,0
"Greece","GRCO00X00",2026,0
"Greece","GRCO00X00",2027,0
"Greece","GRCO00X00",2028,0
"Greece","GRCO00X00",2029,0
"Greece","GRCO00X00",2030,0
"Greece","GRCO00X00",2031,0
"Greece","GRCO00X00",2032,0
"Greece","GRCO00X00",2033,0
"Greece","GRCO00X00",2034,0
"Greece","GRCO00X00",2035,0
"Greece","GRCO00X00",2036,0
"Greece","GRCO00X00",2037,0
"Greece","GRCO00X00",2038,0
"Greece","GRCO00X00",2039,0
"Greece","GRCO00X00",2040,0
"Greece","GRCO00X00",2041,0
"Greece","GRCO00X00",2042,0
"Greece","GRCO00X00",2043,0
"Greece","GRCO00X00",2044,0
"Greece","GRCO00X00",2045,0
"Greece","GRCO00X00",2046,0
"Greece","GRCO00X00",2047,0
"Greece","GRCO00X00",2048,0
"Greece","GRCO00X00",2049,0
"Greece","GRCO00X00",2050,0
"Greece","GRELALBP0",2019,30.42
"Greece","GRELALBP0",2020,30.12
"Greece","GRELALBP0",2021,29.84
"Greece","GRELALBP0",2022,29.54
"Greece","GRELALBP0",2023,29.24
"Greece","GRELALBP0",2024,28.96
"Greece","GRELALBP0",2025,28.66
"Greece","GRELALBP0",2026,28.36
"Greece","GRELALBP0",2027,28.08
"Greece","GRELALBP0",2028,27.78
"Greece","GRELALBP0",2029,27.48
"Greece","GRELALBP0",2030,27.2
"Greece","GRELALBP0",2031,27.04
"Greece","GRELALBP0",2032,26.88
"Greece","GRELALBP0",2033,26.72
"Greece","GRELALBP0",2034,26.56
"Greece","GRELALBP0",2035,26.4
"Greece","GRELALBP0",2036,53.4493844844046
"Greece","GRELALBP0",2037,58.9529244911293
"Greece","GRELALBP0",2038,62.9969612829384
"Greece","GRELALBP0",2039,66.9736484321305
"Greece","GRELALBP0",2040,70.5417090477645
"Greece","GRELALBP0",2041,73.7583832281654
"Greece","GRELALBP0",2042,75.84
"Greece","GRELALBP0",2043,75.36
"Greece","GRELALBP0",2044,74.88
"Greece","GRELALBP0",2045,74.4
"Greece","GRELALBP0",2046,73.92
"Greece","GRELALBP0",2047,73.44
"Greece","GRELALBP0",2048,72.96
"Greece","GRELALBP0",2049,72.48
"Greece","GRELALBP0",2050,72
"Greece","GRHF00I00",2019,0
"Greece","GRHF00I00",2020,0
"Greece","GRHF00I00",2021,0
"Greece","GRHF00I00",2022,0
"Greece","GRHF00I00",2023,0
"Greece","GRHF00I00",2024,0
"Greece","GRHF00I00",2025,0
"Greece","GRHF00I00",2026,0
"Greece","GRHF00I00",2027,0
"Greece","GRHF00I00",2028,0
"Greece","GRHF00I00",2029,0
"Greece","GRHF00I00",2030,0
"Greece","GRHF00I00",2031,0
"Greece","GRHF00I00",2032,0
"Greece","GRHF00I00",2033,0
"Greece","GRHF00I00",2034,0
"Greece","GRHF00I00",2035,0
"Greece","GRHF00I00",2036,0
"Greece","GRHF00I00",2037,0
"Greece","GRHF00I00",2038,0
"Greece","GRHF00I00",2039,0
"Greece","GRHF00I00",2040,0
"Greece","GRHF00I00",2041,0
"Greece","GRHF00I00",2042,0
"Greece","GRHF00I00",2043,0
"Greece","GRHF00I00",2044,0
"Greece","GRHF00I00",2045,0
"Greece","GRHF00I00",2046,0
"Greece","GRHF00I00",2047,0
"Greece","GRHF00I00",2048,0
"Greece","GRHF00I00",2049,0
"Greece","GRHF00I00",2050,0
"Greece","GRMBACKSTOP",2019,803145.0534624
"Greece","GRMBACKSTOP",2020,828998.0199072
"Greece","GRMBACKSTOP",2021,852706.7527968
"Greece","GRMBACKSTOP",2022,852706.7527968
"Greece","GRMBACKSTOP",2023,852706.7527968
"Greece","GRMBACKSTOP",2024,852706.7527968
"Greece","GRMBACKSTOP",2025,852706.7527968
"Greece","GRMBACKSTOP",2026,852706.7527968
"Greece","GRMBACKSTOP",2027,852706.7527968
"Greece","GRMBACKSTOP",2028,852706.7527968
"Greece","GRMBACKSTOP",2029,852706.7527968
"Greece","GRMBACKSTOP",2030,852706.7527968
"Greece","GRMBACKSTOP",2031,852706.7527968
"Greece","GRMBACKSTOP",2032,852706.7527968
"Greece","GRMBACKSTOP",2033,852706.7527968
"Greece","GRMBACKSTOP",2034,852706.7527968
"Greece","GRMBACKSTOP",2035,852706.7527968
"Greece","GRMBACKSTOP",2036,852706.7527968
"Greece","GRMBACKSTOP",2037,852706.7527968
"Greece","GRMBACKSTOP",2038,852706.7527968
"Greece","GRMBACKSTOP",2039,852706.7527968
"Greece","GRMBACKSTOP",2040,852706.7527968
"Greece","GRMBACKSTOP",2041,852706.7527968
"Greece","GRMBACKSTOP",2042,852706.7527968
"Greece","GRMBACKSTOP",2043,852706.7527968
"Greece","GRMBACKSTOP",2044,852706.7527968
"Greece","GRMBACKSTOP",2045,852706.7527968
"Greece","GRMBACKSTOP",2046,852706.7527968
"Greece","GRMBACKSTOP",2047,852706.7527968
"Greece","GRMBACKSTOP",2048,852706.7527968
"Greece","GRMBACKSTOP",2049,852706.7527968
"Greece","GRMBACKSTOP",2050,852706.7527968
"Greece","GRMBMCHP00",2019,4.3144
"Greece","GRMBMCHP00",2020,4.7871
"Greece","GRMBMCHP00",2021,5.245
"Greece","GRMBMCHP00",2022,15.513
"Greece","GRMBMCHP00",2023,25.485
"Greece","GRMBMCHP00",2024,35.168
"Greece","GRMBMCHP00",2025,34.65
"Greece","GRMBMCHP00",2026,34.132
"Greece","GRMBMCHP00",2027,33.614
"Greece","GRMBMCHP00",2028,33.103
"Greece","GRMBMCHP00",2029,32.585
"Greece","GRMBMCHP00",2030,32.067
"Greece","GRMBMCHP00",2031,31.997
"Greece","GRMBMCHP00",2032,31.927
"Greece","GRMBMCHP00",2033,40.5198710797835
"Greece","GRMBMCHP00",2034,49.5108164180697
"Greece","GRMBMCHP00",2035,58.4617617563559
"Greece","GRMBMCHP00",2036,58.3327070946421
"Greece","GRMBMCHP00",2037,58.1907469667569
"Greece","GRMBMCHP00",2038,58.0616923050431
"Greece","GRMBMCHP00",2039,57.9326376433293
"Greece","GRMBMCHP00",2040,57.7906775154441
"Greece","GRMBMCHP00",2041,57.6745283199016
"Greece","GRMBMCHP00",2042,57.5583791243592
"Greece","GRMBMCHP00",2043,57.4422299288168
"Greece","GRMBMCHP00",2044,57.3260807332744
"Greece","GRMBMCHP00",2045,57.2099315377319
"Greece","GRMBMCHP00",2046,57.0937823421895
"Greece","GRMBMCHP00",2047,56.9647276804757
"Greece","GRMBMCHP00",2048,56.8485784849333
"Greece","GRMBMCHP00",2049,56.7324292893908
"Greece","GRMBMCHP00",2050,57.9595928226845
"Greece","GRMCOSCP00",2019,205.92
"Greece","GRMCOSCP00",2020,204.36
"Greece","GRMCOSCP00",2021,146.6682
"Greece","GRMCOSCP00",2022,145.5402
"Greece","GRMCOSCP00",2023,144.4122
"Greece","GRMCOSCP00",2024,0
"Greece","GRMCOSCP00",2025,0
"Greece","GRMCOSCP00",2026,0
"Greece","GRMCOSCP00",2027,0
"Greece","GRMCOSCP00",2028,0
"Greece","GRMCOSCP00",2029,0
"Greece","GRMCOSCP00",2030,0
"Greece","GRMCOSCP00",2031,0
"Greece","GRMCOSCP00",2032,0
"Greece","GRMCOSCP00",2033,0
"Greece","GRMCOSCP00",2034,0
"Greece","GRMCOSCP00",2035,0
"Greece","GRMCOSCP00",2036,0
"Greece","GRMCOSCP00",2037,0
"Greece","GRMCOSCP00",2038,0
"Greece","GRMCOSCP00",2039,0
"Greece","GRMCOSCP00",2040,0
"Greece","GRMCOSCP00",2041,0
"Greece","GRMCOSCP00",2042,0
"Greece","GRMCOSCP00",2043,0
"Greece","GRMCOSCP00",2044,0
"Greece","GRMCOSCP00",2045,0
"Greece","GRMCOSCP00",2046,0
"Greece","GRMCOSCP00",2047,0
"Greece","GRMCOSCP00",2048,0
"Greece","GRMCOSCP00",2049,0
"Greece","GRMCOSCP00",2050,0
"Greece","GRMCOSCP00_Ptol",2019,0
"Greece","GRMCOSCP00_Ptol",2020,0
"Greece","GRMCOSCP00_Ptol",2021,0
"Greece","GRMCOSCP00_Ptol",2022,0
"Greece","GRMCOSCP00_Ptol",2023,35.847
"Greece","GRMCOSCP00_Ptol",2024,35.574
"Greece","GRMCOSCP00_Ptol",2025,35.294
"Greece","GRMCOSCP00_Ptol",2026,35.014
"Greece","GRMCOSCP00_Ptol",2027,34.741
"Greece","GRMCOSCP00_Ptol",2028,34.461
"Greece","GRMCOSCP00_Ptol",2029,0
"Greece","GRMCOSCP00_Ptol",2030,0
"Greece","GRMCOSCP00_Ptol",2031,0
"Greece","GRMCOSCP00_Ptol",2032,0
"Greece","GRMCOSCP00_Ptol",2033,0
"Greece","GRMCOSCP00_Ptol",2034,0
"Greece","GRMCOSCP00_Ptol",2035,0
"Greece","GRMCOSCP00_Ptol",2036,0
"Greece","GRMCOSCP00_Ptol",2037,0
"Greece","GRMCOSCP00_Ptol",2038,0
"Greece","GRMCOSCP00_Ptol",2039,0
"Greece","GRMCOSCP00_Ptol",2040,0
"Greece","GRMCOSCP00_Ptol",2041,0
"Greece","GRMCOSCP00_Ptol",2042,0
"Greece","GRMCOSCP00_Ptol",2043,0
"Greece","GRMCOSCP00_Ptol",2044,0
"Greece","GRMCOSCP00_Ptol",2045,0
"Greece","GRMCOSCP00_Ptol",2046,0
"Greece","GRMCOSCP00_Ptol",2047,0
"Greece","GRMCOSCP00_Ptol",2048,0
"Greece","GRMCOSCP00_Ptol",2049,0
"Greece","GRMCOSCP00_Ptol",2050,0
"Greece","GRMEL00T00",2019,94.302
"Greece","GRMEL00T00",2020,93.372
"Greece","GRMEL00T00",2021,92.504
"Greece","GRMEL00T00",2022,135.761455884234
"Greece","GRMEL00T00",2023,134.442887413143
"Greece","GRMEL00T00",2024,133.215083281495
"Greece","GRMEL00T00",2025,131.894085923058
"Greece","GRMEL00T00",2026,130.571853537158
"Greece","GRMEL00T00",2027,129.340508993449
"Greece","GRMEL00T00",2028,128.015847720204
"Greece","GRMEL00T00",2029,127.352961809278
"Greece","GRMEL00T00",2030,126.111321289127
"Greece","GRMEL00T00",2031,126.174626819315
"Greece","GRMEL00T00",2032,126.228404102971
"Greece","GRMEL00T00",2033,126.272653140097
"Greece","GRMEL00T00",2034,126.948187466084
"Greece","GRMEL00T00",2035,126.969519687645
"Greece","GRMEL00T00",2036,126.981323662674
"Greece","GRMEL00T00",2037,126.983599391172
"Greece","GRMEL00T00",2038,127.601719118523
"Greece","GRMEL00T00",2039,127.581078031456
"Greece","GRMEL00T00",2040,127.550908697858
"Greece","GRMEL00T00",2041,128.125002395606
"Greece","GRMEL00T00",2042,128.071916246443
"Greece","GRMEL00T00",2043,128.102136633358
"Greece","GRMEL00T00",2044,130.297251009199
"Greece","GRMEL00T00",2045,130.658712196413
"Greece","GRMEL00T00",2046,131.004732093618
"Greece","GRMEL00T00",2047,131.335310700814
"Greece","GRMEL00T00",2048,132.237217038361
"Greece","GRMEL00T00",2049,133.917000569122
"Greece","GRMEL00T00",2050,133.8334471577
"Greece","GRMHFSTP00",2019,29.568
"Greece","GRMHFSTP00",2020,29.568
"Greece","GRMHFSTP00",2021,29.568
"Greece","GRMHFSTP00",2022,29.568
"Greece","GRMHFSTP00",2023,16.8
"Greece","GRMHFSTP00",2024,16.8
"Greece","GRMHFSTP00",2025,16.8
"Greece","GRMHFSTP00",2026,16.8
"Greece","GRMHFSTP00",2027,16.8
"Greece","GRMHFSTP00",2028,16.8
"Greece","GRMHFSTP00",2029,16.8
"Greece","GRMHFSTP00",2030,16.8
"Greece","GRMHFSTP00",2031,0
"Greece","GRMHFSTP00",2032,0
"Greece","GRMHFSTP00",2033,0
"Greece","GRMHFSTP00",2034,0
"Greece","GRMHFSTP00",2035,0
"Greece","GRMHFSTP00",2036,0
"Greece","GRMHFSTP00",2037,0
"Greece","GRMHFSTP00",2038,0
"Greece","GRMHFSTP00",2039,0
"Greece","GRMHFSTP00",2040,0
"Greece","GRMHFSTP00",2041,0
"Greece","GRMHFSTP00",2042,0
"Greece","GRMHFSTP00",2043,0
"Greece","GRMHFSTP00",2044,0
"Greece","GRMHFSTP00",2045,0
"Greece","GRMHFSTP00",2046,0
"Greece","GRMHFSTP00",2047,0
"Greece","GRMHFSTP00",2048,0
"Greece","GRMHFSTP00",2049,0
"Greece","GRMHFSTP00",2050,0
"Greece","GRMHYDMS01",2019,18
"Greece","GRMHYDMS01",2020,18.75
"Greece","GRMHYDMS01",2021,19.5
"Greece","GRMHYDMS01",2022,19.5
"Greece","GRMHYDMS01",2023,19.5
"Greece","GRMHYDMS01",2024,19.5
"Greece","GRMHYDMS01",2025,19.5
"Greece","GRMHYDMS01",2026,19.5
"Greece","GRMHYDMS01",2027,19.5
"Greece","GRMHYDMS01",2028,19.5
"Greece","GRMHYDMS01",2029,19.5
"Greece","GRMHYDMS01",2030,19.5
"Greece","GRMHYDMS01",2031,19.5
"Greece","GRMHYDMS01",2032,19.5
"Greece","GRMHYDMS01",2033,19.5
"Greece","GRMHYDMS01",2034,19.5
"Greece","GRMHYDMS01",2035,19.5
"Greece","GRMHYDMS01",2036,19.5
"Greece","GRMHYDMS01",2037,19.5
"Greece","GRMHYDMS01",2038,19.5
"Greece","GRMHYDMS01",2039,19.5
"Greece","GRMHYDMS01",2040,19.5
"Greece","GRMHYDMS01",2041,19.5
"Greece","GRMHYDMS01",2042,19.5
"Greece","GRMHYDMS01",2043,19.5
"Greece","GRMHYDMS01",2044,19.5
"Greece","GRMHYDMS01",2045,19.5
"Greece","GRMHYDMS01",2046,19.5
"Greece","GRMHYDMS01",2047,19.5
"Greece","GRMHYDMS01",2048,19.5
"Greece","GRMHYDMS01",2049,19.5
"Greece","GRMHYDMS01",2050,19.5
"Greece","GRMHYDMS02",2019,11.475
"Greece","GRMHYDMS02",2020,11.475
"Greece","GRMHYDMS02",2021,11.475
"Greece","GRMHYDMS02",2022,11.475
"Greece","GRMHYDMS02",2023,11.475
"Greece","GRMHYDMS02",2024,11.475
"Greece","GRMHYDMS02",2025,11.475
"Greece","GRMHYDMS02",2026,11.475
"Greece","GRMHYDMS02",2027,11.475
"Greece","GRMHYDMS02",2028,11.475
"Greece","GRMHYDMS02",2029,11.475
"Greece","GRMHYDMS02",2030,11.475
"Greece","GRMHYDMS02",2031,11.475
"Greece","GRMHYDMS02",2032,11.475
"Greece","GRMHYDMS02",2033,11.475
"Greece","GRMHYDMS02",2034,11.475
"Greece","GRMHYDMS02",2035,11.475
"Greece","GRMHYDMS02",2036,11.475
"Greece","GRMHYDMS02",2037,11.475
"Greece","GRMHYDMS02",2038,11.475
"Greece","GRMHYDMS02",2039,11.475
"Greece","GRMHYDMS02",2040,11.475
"Greece","GRMHYDMS02",2041,11.475
"Greece","GRMHYDMS02",2042,11.475
"Greece","GRMHYDMS02",2043,11.475
"Greece","GRMHYDMS02",2044,11.475
"Greece","GRMHYDMS02",2045,11.475
"Greece","GRMHYDMS02",2046,11.475
"Greece","GRMHYDMS02",2047,11.475
"Greece","GRMHYDMS02",2048,11.475
"Greece","GRMHYDMS02",2049,11.475
"Greece","GRMHYDMS02",2050,11.475
"Greece","GRMHYDMS03",2019,180
"Greece","GRMHYDMS03",2020,180
"Greece","GRMHYDMS03",2021,180
"Greece","GRMHYDMS03",2022,180
"Greece","GRMHYDMS03",2023,180
"Greece","GRMHYDMS03",2024,180
"Greece","GRMHYDMS03",2025,180
"Greece","GRMHYDMS03",2026,180
"Greece","GRMHYDMS03",2027,180
"Greece","GRMHYDMS03",2028,180
"Greece","GRMHYDMS03",2029,180
"Greece","GRMHYDMS03",2030,180
"Greece","GRMHYDMS03",2031,180
"Greece","GRMHYDMS03",2032,180
"Greece","GRMHYDMS03",2033,180
"Greece","GRMHYDMS03",2034,180
"Greece","GRMHYDMS03",2035,180
"Greece","GRMHYDMS03",2036,180
"Greece","GRMHYDMS03",2037,180
"Greece","GRMHYDMS03",2038,180
"Greece","GRMHYDMS03",2039,180
"Greece","GRMHYDMS03",2040,180
"Greece","GRMHYDMS03",2041,180
"Greece","GRMHYDMS03",2042,180
"Greece","GRMHYDMS03",2043,180
"Greece","GRMHYDMS03",2044,180
"Greece","GRMHYDMS03",2045,180
"Greece","GRMHYDMS03",2046,180
"Greece","GRMHYDMS03",2047,180
"Greece","GRMHYDMS03",2048,180
"Greece","GRMHYDMS03",2049,180
"Greece","GRMHYDMS03",2050,180
"Greece","GRMNGCCP00",2019,79.8
"Greece","GRMNGCCP00",2020,85.008
"Greece","GRMNGCCP00",2021,85.008
"Greece","GRMNGCCP00",2022,85.008
"Greece","GRMNGCCP00",2023,85.008
"Greece","GRMNGCCP00",2024,85.008
"Greece","GRMNGCCP00",2025,85.008
"Greece","GRMNGCCP00",2026,85.008
"Greece","GRMNGCCP00",2027,85.008
"Greece","GRMNGCCP00",2028,85.008
"Greece","GRMNGCCP00",2029,85.008
"Greece","GRMNGCCP00",2030,85.008
"Greece","GRMNGCCP00",2031,85.008
"Greece","GRMNGCCP00",2032,85.008
"Greece","GRMNGCCP00",2033,85.008
"Greece","GRMNGCCP00",2034,85.008
"Greece","GRMNGCCP00",2035,85.008
"Greece","GRMNGCCP00",2036,85.008
"Greece","GRMNGCCP00",2037,85.008
"Greece","GRMNGCCP00",2038,85.008
"Greece","GRMNGCCP00",2039,85.008
"Greece","GRMNGCCP00",2040,85.008
"Greece","GRMNGCCP00",2041,85.008
"Greece","GRMNGCCP00",2042,85.008
"Greece","GRMNGCCP00",2043,85.008
"Greece","GRMNGCCP00",2044,85.008
"Greece","GRMNGCCP00",2045,85.008
"Greece","GRMNGCCP00",2046,85.008
"Greece","GRMNGCCP00",2047,85.008
"Greece","GRMNGCCP00",2048,85.008
"Greece","GRMNGCCP00",2049,5.208
"Greece","GRMNGCCP00",2050,0
"Greece","GRMNGGCP00",2019,1.557
"Greece","GRMNGGCP00",2020,1.557
"Greece","GRMNGGCP00",2021,1.557
"Greece","GRMNGGCP00",2022,1.557
"Greece","GRMNGGCP00",2023,1.557
"Greece","GRMNGGCP00",2024,1.557
"Greece","GRMNGGCP00",2025,1.557
"Greece","GRMNGGCP00",2026,1.557
"Greece","GRMNGGCP00",2027,1.557
"Greece","GRMNGGCP00",2028,1.557
"Greece","GRMNGGCP00",2029,1.557
"Greece","GRMNGGCP00",2030,1.557
"Greece","GRMNGGCP00",2031,1.557
"Greece","GRMNGGCP00",2032,1.557
"Greece","GRMNGGCP00",2033,1.557
"Greece","GRMNGGCP00",2034,1.557
"Greece","GRMNGGCP00",2035,1.557
"Greece","GRMNGGCP00",2036,1.557
"Greece","GRMNGGCP00",2037,1.557
"Greece","GRMNGGCP00",2038,1.557
"Greece","GRMNGGCP00",2039,1.557
"Greece","GRMNGGCP00",2040,1.557
"Greece","GRMNGGCP00",2041,1.557
"Greece","GRMNGGCP00",2042,1.557
"Greece","GRMNGGCP00",2043,1.557
"Greece","GRMNGGCP00",2044,1.557
"Greece","GRMNGGCP00",2045,1.557
"Greece","GRMNGGCP00",2046,1.557
"Greece","GRMNGGCP00",2047,1.557
"Greece","GRMNGGCP00",2048,1.557
"Greece","GRMNGGCP00",2049,0
"Greece","GRMNGGCP00",2050,0
"Greece","GRMSOC1P00",2019,0
"Greece","GRMSOC1P00",2020,0
"Greece","GRMSOC1P00",2021,0
"Greece","GRMSOC1P00",2022,0
